iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,nan,nan,nan,nan,nan,3.3517219000004843,ok,"{'C': 0.0031485875193809055, 'penalty': 'l2', 'solver': 'liblinear'}"
2,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02820400000018708,ok,"{'C': 0.006672841728916636, 'penalty': 'l1', 'solver': 'saga'}"
3,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020459999999729916,ok,"{'C': 0.0024206646468159752, 'penalty': 'l2', 'solver': 'lbfgs'}"
4,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01874649999990652,ok,"{'C': 0.06825974597447126, 'penalty': 'l2', 'solver': 'saga'}"
5,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018268699999680393,ok,"{'C': 0.002994610013701173, 'penalty': 'l2', 'solver': 'saga'}"
6,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0207566000008228,ok,"{'C': 0.02377526221061963, 'penalty': 'l1', 'solver': 'saga'}"
7,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018243599999550497,ok,"{'C': 0.002121946114071492, 'penalty': 'l2', 'solver': 'saga'}"
8,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016058699999121018,ok,"{'C': 0.016310356383008075, 'penalty': 'l1', 'solver': 'lbfgs'}"
9,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016533199999685166,ok,"{'C': 0.0050039583783371, 'penalty': 'l1', 'solver': 'sag'}"
10,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018460100000083912,ok,"{'C': 0.05353444260794427, 'penalty': 'l2', 'solver': 'newton-cg'}"
11,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.021203599999353173,ok,"{'C': 0.05595666308473752, 'penalty': 'l1', 'solver': 'lbfgs'}"
12,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01958589999958349,ok,"{'C': 0.019413467543395863, 'penalty': 'l2', 'solver': 'sag'}"
13,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019091599999228492,ok,"{'C': 0.003745697829577843, 'penalty': 'l1', 'solver': 'saga'}"
14,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01701590000084252,ok,"{'C': 0.01775031870839308, 'penalty': 'l1', 'solver': 'lbfgs'}"
15,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016901799999686773,ok,"{'C': 0.062357918631618416, 'penalty': 'l1', 'solver': 'sag'}"
16,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02147000000150001,ok,"{'C': 0.07233300954372938, 'penalty': 'l2', 'solver': 'liblinear'}"
17,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019998100000520935,ok,"{'C': 0.0038502509488163145, 'penalty': 'l2', 'solver': 'lbfgs'}"
18,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01857639999980165,ok,"{'C': 0.0010445151102660556, 'penalty': 'l2', 'solver': 'liblinear'}"
